instruction,output,input
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Федун уйдет с поста вице-президента ЛУКОЙЛа на пенсию
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Федун покинул пост вице-президента ЛУКОЙЛа
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,ФАС разрешила производителю сыра купить «Вимм-Билль-Данн» у PepsiCo
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,ФАС разрешила ЛУКОЙЛу купить «дочку» Shell
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,"ФАС продлила выданное ранее ""Магниту"" предписание о нулевых наценках на ряд товаров"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,ФАС предложила обязать «Газпром» продавать 10% газа на бирже
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,ФАС обвинила Apple в нарушении антимонопольного законодательства
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Умер генеральный директор Xerox
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,"Украинский оператор ГТС утверждает, что ""Газпром"" увеличил давление в пограничном участке"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Украина пригрозила исками JPMorgan и HSBC из-за российской нефти
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Убыток Mastercard из-за ухода из России во II квартале составил $26 млн
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Убитую семью экс-вице-президента Газпромбанка нашел водитель
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Убитую семью экс-вице-президента «Газпромбанка» нашел водитель
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,УГМК выкупила долги Petropavlovsk у Газпромбанка
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,У погибшего бывшего вице-президента Газпромбанка нашли 13 единиц оружия
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Тяготы и лишения контрактной тяжбы // «Нафтогаз Украины» собирается судиться с «Газпромом»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Турбина набирает документооборот // У «Газпрома» возникли вопросы к канадской лицензии
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Турбина забуксовала в бумагах // У «Газпрома» возникли вопросы к канадской лицензии
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Транзит газа перешел в режим спецоперации // Контракт «Газпрома» с Украиной может развалиться
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Трамп отказался возвращаться в Twitter после его покупки Маском
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Тиньков решил уйти на пенсию после продажи доли в TCS Group
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Тиньк-офф // Долю Олега Тинькова в TCS Group Holding покупает холдинг Владимира Потанина
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Тайваньский подрядчик Apple приостановил работу на двух заводах в Китае
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,ТГК-1 не будет публиковать финотчетность по РСБУ за 1 полугодие
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Суд в США отклонил иск Трампа к Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Суд в Латвии разблокировал пять телеканалов холдинга «Газпром-медиа»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Суд в Латвии разблокировал пять телеканалов холдинга «Газпром-Медиа»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Суд арестовал ответственного за покупку самолетов в «Аэрофлоте»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Суд Шри-Ланки снял запрет на вылет задержанного самолета «Аэрофлота»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Суд Шри-Ланки запретил самолету «Аэрофлота» покидать страну
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Спрос на оплату по QR вырос после прекращения работы Apple и Google Pay
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Спекулянты отыгрались на «Газпроме» // Акции монополии подозрительно рухнули и закономерно взлетели
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Сотрудники «Аэрофлота» пожаловались на реформу техобслуживания самолетов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"События предстоящего дня: ""Магнит"" опубликует финансовые результаты"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Смартфоны новых реалий // Китайский Realme потеснил Apple по продажам в России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Следствие назвало причину смерти бывшего топ-менеджера ЛУКОЙЛа
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,Сжижай отечественным // НОВАТЭК планирует новый СПГ-завод на российском оборудовании
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"Сеть магазинов re:Store подтвердила, что завезла технику Apple в июне"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Сеть re:Store подтвердила завоз техники после остановки поставок Apple
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Серверам предложили единое окно // «Ростелеком» хочет консолидировать поставки техники госсектору
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,"Сбербанк, Россельхозбанк и МКБ отключат от SWIFT 14 июня"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Санкции многогазового использования // Российское эмбарго ударило по «Газпрому» и НОВАТЭКу
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,США расширили санкции против АЛРОСА
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,США ограничили использование вакцины Johnson & Johnson от COVID-19
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,"США ввели экспортные санкции против «Аэрофлота», Utair и Azur Air"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,СПБ Биржа не исключила приостановку торгов бумагами иностранных эмитентов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,СПБ Биржа в июне запустит торги акциями с Гонконгской биржи
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,СПБ Биржа анонсировала выплату дивидендов по иностранным акциям в августе
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,СДЭК сообщил о задержании посылок с хамоном в аэропорту Шереметьево
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,СДЭК объяснила задержки в доставке товаров «логистическим квестом»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,СБУ заявила об аресте активов «Роснефти» и «Газпрома» на Украине
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Рынок обвалился вслед за «Газпромом» // Индекс Московской биржи откатился на два месяца назад
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,"Рынок РФ растет, покупают ""Селигдар"" и ""Магнит"""
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Руководитель IR-отдела VEON Алекс Болис назначен советником CEO и CFO группы
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Ростелеком заподозрил экс-сотрудника в причастности к утечке данных
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Россия ввела санкции против бывших «дочек» «Газпрома»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Российские топ-менеджеры Accenture выкупили бизнес компании в стране
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Роскомнадзор составил протокол на «Ростелеком» за утечки данных
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Росавиация решила отдать четверть субсидий правительства «Аэрофлоту»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Рожденные для ССР // «Газпром нефть» просит подправить налогообложение сервисных соглашений
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Рогозин назвал Twitter рупором антироссийской пропаганды
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Ретейлеры Apple закрыли часть магазинов в России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Ракета Astra Space вновь не смогла вывести спутники NASA на орбиту
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Разливное яблочко // У садов структур акционеров ЛУКОЙЛа может появиться переработка
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Путин поручил «Газпрому» доложить о мерах по продаже газа за рубли
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Пропавший топ-менеджер VK погиб
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Производитель шин Nokian Tyres допустил «автономную» работу в России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Приложение Газпромбанка пропало из App Store
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Приложение «Аэрофлота» удалили из App Store
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Пресс-секретарь главы правления «Газпрома» возглавил совет директоров VK
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Правительство временно разрешило поставки СПГ бывшей «дочке» «Газпрома»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"Посол заявил, что Венгрия и «Газпром» обсуждают оплату газа в рублях"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Попавший под санкции «Совкомфлот» анонсировал продажу части флота
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Польша раскатала трубы на НОВАТЭК // От компании потребовали предоставить доступ к газопроводам
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Польша обязала НОВАТЭК передать газотранспортную инфраструктуру
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Польша обязала НОВАТЭК передать газовую инфраструктуру
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Польша заявила о планах выставить счет «Газпрому» за прекращение поставок
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,"Польша ввела санкции против «Газпрома», «Новатэка» и Wildberries"
